doc_id,item,category,amount,price,discount
CHK3424,Порошок,бытовая химия,1,334,0
CHK8170,Чай,продукты,5,391,0
CHK7862,Сковорода,посуда,3,231,15
CHK6209,Подушка,текстиль,1,216,0
CHK4019,Швабра,хозтовары,2,936,0
CHK6906,Шампунь,бытовая химия,2,381,0
CHK9863,Шампунь,бытовая химия,2,625,0
CHK3380,Чай,продукты,1,467,0
CHK8809,Кофе,продукты,5,104,0
CHK9785,Пакеты,хозтовары,1,344,5
CHK4865,Порошок,бытовая химия,5,761,0
CHK6355,Одеяло,текстиль,4,274,20
CHK8793,Мыло,бытовая химия,1,245,0
CHK5910,Полотенце,текстиль,4,241,0
CHK9756,Пакеты,хозтовары,3,483,30
CHK7393,Печенье,продукты,5,508,0
CHK5200,Кастрюля,посуда,1,643,10
CHK9124,Печенье,продукты,2,570,0
CHK5874,Тарелка,посуда,4,170,0
CHK6585,Печенье,продукты,5,199,0
CHK7097,Подушка,текстиль,3,400,20
CHK7256,Тарелка,посуда,5,265,0
CHK2644,Мыло,бытовая химия,4,517,15
CHK3102,Швабра,хозтовары,1,459,0
